STATE,ZONE,STATION_CALL_ID
IN,'Boone',KTYQ 
IN,'De Kalb',KGWB 
IN,'Delaware',KMIE 
IN,'Dubois',KHNB 
IN,'Eastern St. Joseph',KSBN 
IN,'Elkhart',KEKM 
IN,'Elkhart',KGSH 
IN,'Howard',KOKK 
IN,'Lake',KGYY 
IN,'Lake',KIGQ 
IN,'Madison',KAID 
IN,'Marion',KEYE 
IN,'Marion',KIND 
IN,'Miami',KGUS 
IN,'Monroe',KBMG 
IN,'Northern Kosciusko',KASW 
IN,'Porter',KVPZ 
IN,'Shelby',KGEZ 
IN,'Starke',KOXI 
IN,'Tippecanoe',KLAF 
IN,'Vanderburgh',KEVV 
IN,'Vigo',KHUF 
KS,'Barber',KP28 
KS,'Barton',KGBD 
KS,'Cloud',KCNK 
KS,'Cowley',KWLD 
KS,'Douglas',KLWC 
KS,'Ellis',KHYS 
KS,'Finney',KGCK 
KS,'Ford',KDDC 
KS,'Geary',KFRI 
KS,'Graham',KHLC 
KS,'Harvey',KEWK 
KS,'Johnson',KIXD 
KS,'Johnson',KOJC 
KS,'Labette',KPPF 
KS,'Lyon',KEMP 
KS,'Montgomery',KCFV 
KS,'Neosho',KCNU 
KS,'Pratt',KPTT 
KS,'Reno',KHUT 
KS,'Riley',KMHK 
KS,'Russell',KRSL 
KS,'Saline',KSLN 
KS,'Sedgwick',KAAO 
KS,'Sedgwick',KIAB 
KS,'Sedgwick',KICT 
KS,'Seward',KLBL 
KS,'Shawnee',KFOE 
KS,'Shawnee',KTOP 
KS,'Sherman',KGLD 
KY,'Barren',KGLW 
KY,'Bell',K1A6 
KY,'Boone',KCVG 
KY,'Boyle',KDVK 
KY,'Breathitt',KJKL 
KY,'Christian',KHOP 
KY,'Daviess',KOWB 
KY,'Fayette',KLEX 
KY,'Franklin',KFFT 
KY,'Hardin',KFTK 
KY,'Henderson',KEHR 
KY,'Jefferson',KLOU 
KY,'Jefferson',KSDF 
KY,'Laurel',KLOZ 
KY,'McCracken',KPAH 
KY,'Pulaski',KSME 
KY,'Warren',KBWG 
KY,'Wayne',KEKQ 
LA,'Allen',KACP 
LA,'Beauregard',KDRI 
LA,'Bossier',KDTN 
LA,'Caddo',KSHV 
LA,'Central Tangipahoa',KHDC 
LA,'East Baton Rouge',KBTR 
LA,'Lafayette',KLFT 
LA,'Lincoln',KRSN 
LA,'Madison',KTVR 
LA,'Natchitoches',KIER 
LA,'Ouachita',KMLU 
LA,'Rapides',KAEX 
LA,'Rapides',KESF 
LA,'Sabine',KAQV 
LA,'Southern Calcasieu',KCWF 
LA,'Southern Calcasieu',KLCH 
LA,'Southern Calcasieu',KUXL 
LA,'Upper Iberia',KARA 
LA,'Upper Vermilion',K0R3 
LA,'Vernon',KBKB 
LA,'Vernon',KDNK 
LA,'Vernon',KPOE 
MA,'Barnstable',KCQX 
MA,'Barnstable',KFMH 
MA,'Barnstable',KHYA 
MA,'Barnstable',KPVC 
MA,'Central Middlesex County',KBED 
MA,'Dukes',KMVY 
MA,'Eastern Essex',KBVY 
MA,'Eastern Franklin',KORE 
MA,'Eastern Hampden',KBAF 
MA,'Eastern Hampden',KCEF 
MA,'Eastern Plymouth',KGHG 
MA,'Eastern Plymouth',KPYM 
MA,'Nantucket',KACK 
MA,'Northern Berkshire',KAQW 
MA,'Northern Berkshire',KPSF 
MA,'Northern Bristol',KTAN 
MA,'Northern Worcester',KFIT 
MA,'Southern Bristol',KEWB 
MA,'Southern Worcester',KORH 
MA,'Suffolk',KBOS 
MA,'Western Essex',KLWM 
MA,'Western Norfolk',KOWD 
MD,'Anne Arundel',KBWI 
MD,'Anne Arundel',KNAK 
MD,'Caroline',KRJD 
MD,'Central and Southeast Montgomery',KGAI 
MD,'Dorchester',KCGE 
MD,'Frederick',KFDK 
MD,'Frederick',KRSP 
MD,'Maryland Beaches',KOXB 
MD,'Prince Georges',KADW 
MD,'Prince Georges',KCGS 
MD,'Southeast Harford',KAPG 
MD,'Southern Baltimore',KMTN 
MD,'St. Marys',K2W6 
MD,'St. Marys',KNHK 
MD,'St. Marys',KNUI 
MD,'Talbot',KESN 
MD,'Washington',KHGR 
MD,'Western Garrett',K2G4 
MD,'Wicomico',KSBY 
ME,'Androscoggin',KLEW 
ME,'Coastal Cumberland',KNHZ 
ME,'Coastal Cumberland',KPWM 
ME,'Coastal Hancock',KBHB 
ME,'Interior York',KSFM 
ME,'Kennebec',KAUG 
ME,'Kennebec',KWVL 
ME,'Knox',KRKD 
ME,'Lincoln',KIWI 
ME,'Northeast Aroostook',KCAR 
ME,'Northeast Aroostook',KPQI 
ME,'Northern Penobscot',KMLT 
ME,'Northwest Aroostook',KFVE 
ME,'Southern Oxford',KIZG 
ME,'Southern Penobscot',KBGR 
MI,'Allegan',KBIV 
MI,'Alpena',KAPN 
MI,'Antrim',KACB 
MI,'Beaver Island and surrounding islands',KSJX 
MI,'Benzie',KFKS 
MI,'Branch',KOEB 
MI,'Calhoun',KBTL 
MI,'Calhoun',KRMY 
MI,'Central Chippewa',KANJ 
MI,'Central Chippewa',KCIU 
MI,'Charlevoix',KCVX 
MI,'Cheboygan',KSLH 
MI,'Crawford',KGOV 
MI,'Delta',KESC 
MI,'Dickinson',KIMT 
MI,'Eaton',KFPK 
MI,'Emmet',KMGN 
MI,'Emmet',KPLN 
MI,'Genesee',KFNT 
MI,'Gogebic',KIWD 
MI,'Grand Traverse',KTVC 
MI,'Gratiot',KAMN 
MI,'Hillsdale',KJYM 
MI,'Houghton',KCMX 
MI,'Huron',KBAX 
MI,'Ingham',KLAN 
MI,'Ingham',KTEW 
MI,'Ionia',KY70 
MI,'Iosco',KOSC 
MI,'Isabella',KMOP 
MI,'Jackson',KJXN 
MI,'Kalamazoo',KAZO 
MI,'Kent',KGRR 
MI,'Lenawee',KADG 
MI,'Livingston',KOZW 
MI,'Luce',KERY 
MI,'Macomb',KMTC 
MI,'Manistee',KMBL 
MI,'Marquette',KSAW 
MI,'Mason',KLDM 
MI,'Mecosta',KRQB 
MI,'Menominee',KMNM 
MI,'Midland',K3BS 
MI,'Midland',KIKW 
MI,'Monroe',KDUH 
MI,'Monroe',KTTF 
MI,'Muskegon',KMKG 
MI,'Newaygo',KFFX 
MI,'Northern Berrien',KBEH 
MI,'Oakland',KPTK 
MI,'Oakland',KVLL 
MI,'Otsego',KGLR 
MI,'Presque Isle',KPZQ 
MI,'Roscommon',KHTL 
MI,'Saginaw',KHYX 
MI,'Saginaw',KMBS 
MI,'Shiawassee',KRNP 
MI,'Southeast Chippewa',KDRM 
MI,'Southern Schoolcraft',KISQ 
MI,'St. Clair',KPHN 
MI,'St. Joseph',KHAI 
MI,'St. Joseph',KIRS 
MI,'Tuscola',KCFS 
MI,'Van Buren',KLWA 
MI,'Washtenaw',KARB 
MI,'Wayne',KDET 
MI,'Wayne',KDTW 
MI,'Wayne',KYIP 
MI,'Wexford',KCAD 
MN,'Anoka',KANE 
MN,'Big Stone',KVVV 
MN,'Blue Earth',KMKT 
MN,'Brown',KULM 
MN,'Carlton/South St. Louis',KCOQ 
MN,'Carlton/South St. Louis',KDLH 
MN,'Carlton/South St. Louis',KMZH 
MN,'Central St. Louis',KCQM 
MN,'Central St. Louis',KELO 
MN,'Central St. Louis',KEVM 
MN,'Central St. Louis',KHIB 
MN,'Chippewa',KMVE 
MN,'Chisago',KROS 
MN,'Clay',KJKJ 
MN,'Cottonwood',KMWM 
MN,'Crow Wing',KBRD 
MN,'Dakota',KLVN 
MN,'Dakota',KSGS 
MN,'Dodge',KTOB 
MN,'Douglas',KAXN 
MN,'East Otter Tail',KADC 
MN,'East Polk',KFSE 
MN,'Fillmore',KFKA 
MN,'Freeborn',KAEL 
MN,'Goodhue',KSYN 
MN,'Grant',KY63 
MN,'Hennepin',KFCM 
MN,'Hennepin',KMIC 
MN,'Hennepin',KMSP 
MN,'Houston',KLSE 
MN,'Hubbard',KPKD 
MN,'Isanti',KCBG 
MN,'Jackson',KMJQ 
MN,'Kanabec',KJMR 
MN,'Kandiyohi',KBDH 
MN,'Kittson',KHCO 
MN,'Koochiching',KINL 
MN,'Lac Qui Parle',KDXX 
MN,'Lake Of The Woods',KBDE 
MN,'Lake Of The Woods',KFGN 
MN,'Lyon',KMML 
MN,'Lyon',KTKC 
MN,'Martin',KFRM 
MN,'McLeod',KGYL 
MN,'McLeod',KHCD 
MN,'Meeker',KLJF 
MN,'Mille Lacs',KPNM 
MN,'Morrison',KLXL 
MN,'Mower',KAUM 
MN,'Murray',KDVP 
MN,'Nobles',KOTG 
