year,begin_time,end_time,episode_id,event_id,state_text,zone,event_type,short_ugcs
2009,2009-04-04 05:00:00 UTC,2009-04-04 21:00 UTC,28516,167828,SD,"HUTCHINSON",Blizzard,SD-C067|SD-Z065
2009,2009-01-12 03:00:00 UTC,2009-01-12 15:00 UTC,25673,149886,SD,"BEADLE",Blizzard,SD-C005|SD-Z038
2009,2009-01-12 03:00:00 UTC,2009-01-12 15:00 UTC,25673,149887,SD,"SANBORN",Blizzard,SD-C111|SD-Z053
2009,2009-12-08 17:00:00 UTC,2009-12-08 22:00 UTC,34588,200629,IA,"MONTGOMERY",Blizzard,IA-C137|IA-Z080
2009,2009-12-08 17:00:00 UTC,2009-12-08 23:00 UTC,34588,200632,IA,"SHELBY",Blizzard,IA-C165|IA-Z056
2009,2009-03-23 08:00:00 UTC,2009-03-24 08:00 UTC,26825,157115,NE,"WESTERN CHERRY",Blizzard,NE-Z094
2009,2009-12-07 01:00:00 UTC,2009-12-08 12:00 UTC,34562,199681,UT,"LA SAL & ABAJO MOUNTAINS",Blizzard,UT-Z028
2009,2009-12-08 19:00:00 UTC,2009-12-09 20:00 UTC,35302,204433,MI,"KEWEENAW",Blizzard,MI-C083|MI-Z001
2009,2009-12-08 18:00:00 UTC,2009-12-09 02:00 UTC,35302,204436,MI,"MENOMINEE",Blizzard,MI-C109|MI-Z012
2009,2009-03-29 10:00:00 UTC,2009-03-30 07:00 UTC,27462,161522,WY,"SHERIDAN FOOTHILLS",Blizzard,WY-Z051|WY-Z099
2009,2009-02-26 18:00:00 UTC,2009-02-27 08:00 UTC,26559,155422,MI,"ALGER",Blizzard,MI-C003|MI-Z006
2009,2009-02-26 18:00:00 UTC,2009-02-27 08:00 UTC,26559,155435,MI,"MARQUETTE",Blizzard,MI-C103|MI-Z005
2009,2009-01-02 01:00:00 UTC,2009-01-02 06:00 UTC,25775,150573,MT,"TOOLE",Blizzard,MT-C101|MT-Z044
2009,2009-03-25 20:00:00 UTC,2009-03-26 09:00 UTC,26429,154617,WY,"LARAMIE RANGE",Blizzard,WY-Z066
2009,2009-03-26 04:00:00 UTC,2009-03-26 09:00 UTC,26430,154621,NE,"KIMBALL",Blizzard,NE-C105|NE-Z054
2009,2009-12-25 02:00:00 UTC,2009-12-25 21:00 UTC,35193,203517,WY,"NIOBRARA COUNTY",Blizzard,WY-Z102
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201382,NE,"BOYD",Blizzard,NE-C015|NE-Z007
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201380,NE,"EASTERN CHERRY",Blizzard,NE-Z005
2009,2009-12-23 04:00:00 UTC,2009-12-26 04:00 UTC,34919,201388,NE,"WHEELER",Blizzard,NE-C183|NE-Z029
2009,2009-12-23 04:00:00 UTC,2009-12-26 04:00 UTC,34919,201390,NE,"LOUP",Blizzard,NE-C115|NE-Z027
2009,2009-12-23 02:00:00 UTC,2009-12-26 00:00 UTC,34919,201395,NE,"HOOKER",Blizzard,NE-C091|NE-Z024
2009,2009-12-23 02:00:00 UTC,2009-12-26 00:00 UTC,34919,201397,NE,"WESTERN CHERRY",Blizzard,NE-Z094
2009,2009-12-23 04:00:00 UTC,2009-12-26 04:00 UTC,34919,201386,NE,"HOLT",Blizzard,NE-C089|NE-Z010
2009,2009-12-08 16:00:00 UTC,2009-12-08 22:00 UTC,34588,200633,IA,"MONONA",Blizzard,IA-C133|IA-Z043
2009,2009-12-23 04:00:00 UTC,2009-12-26 04:00 UTC,34919,201387,NE,"GARFIELD",Blizzard,NE-C071|NE-Z028
2009,2009-12-08 00:00:00 UTC,2009-12-09 09:30 UTC,34799,201315,MN,"WABASHA",Blizzard,MN-C157|MN-Z079
2009,2009-12-08 00:00:00 UTC,2009-12-09 09:30 UTC,34799,201316,MN,"WINONA",Blizzard,MN-C169|MN-Z088
2009,2009-12-06 23:00:00 UTC,2009-12-08 15:00 UTC,34377,198775,CO,"NORTHWESTERN SAN JUAN MOUNTAINS",Blizzard,CO-Z018
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201383,NE,"BROWN",Blizzard,NE-C017|NE-Z008
2009,2009-12-06 17:00:00 UTC,2009-12-08 12:00 UTC,34377,199679,CO,"SOUTHWESTERN SAN JUAN MOUNTAINS",Blizzard,CO-Z019
2009,2009-12-07 21:00:00 UTC,2009-12-09 09:30 UTC,34798,200774,IA,"MITCHELL",Blizzard,IA-C131|IA-Z008
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201385,NE,"ROCK",Blizzard,NE-C149|NE-Z009
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201381,NE,"KEYA PAHA",Blizzard,NE-C103|NE-Z006
2009,2009-12-06 15:00:00 UTC,2009-12-08 16:00 UTC,34377,199674,CO,"GRAND AND BATTLEMENT MESAS",Blizzard,CO-Z009
2009,2009-12-06 19:00:00 UTC,2009-12-08 14:00 UTC,34377,199675,CO,"WEST ELK AND SAWATCH MOUNTAINS",Blizzard,CO-Z012
2009,2009-12-06 21:00:00 UTC,2009-12-08 09:00 UTC,34377,199676,CO,"UNCOMPAHGRE PLATEAU AND DALLAS DIVIDE",Blizzard,CO-Z017
2009,2009-12-25 00:00:00 UTC,2009-12-26 00:00 UTC,35109,202888,NE,"WEBSTER",Blizzard,NE-C181|NE-Z085
2009,2009-01-12 06:00:00 UTC,2009-01-12 13:00 UTC,24319,143354,IA,"SHELBY",Blizzard,IA-C165|IA-Z056
2009,2009-12-24 09:00:00 UTC,2009-12-26 00:00 UTC,35109,202893,NE,"CLAY",Blizzard,NE-C035|NE-Z076
2009,2009-12-24 19:00:00 UTC,2009-12-26 00:00 UTC,35109,202909,NE,"VALLEY",Blizzard,NE-C175|NE-Z039
2009,2009-01-27 04:00:00 UTC,2009-01-27 18:00 UTC,24908,144923,WY,"LARAMIE RANGE",Blizzard,WY-Z066
2009,2009-12-08 15:00:00 UTC,2009-12-09 07:00 UTC,34353,198655,IA,"ADAIR",Blizzard,IA-C001|IA-Z071
2009,2009-12-08 15:00:00 UTC,2009-12-09 07:00 UTC,34353,198656,IA,"AUDUBON",Blizzard,IA-C009|IA-Z057
2009,2009-12-24 09:00:00 UTC,2009-12-26 00:00 UTC,35109,202904,NE,"MERRICK",Blizzard,NE-C121|NE-Z048
2009,2009-12-25 06:00:00 UTC,2009-12-25 20:00 UTC,35108,202883,KS,"JEWELL",Blizzard,KS-C089|KS-Z007
2009,2009-01-26 19:30:00 UTC,2009-01-28 06:30 UTC,24569,142744,IN,"PERRY",Blizzard,IN-C123|IN-Z089
